Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,40.34,40.66,40.009998,40.419998,1904100,40.419998
2014-06-30,39.900002,40.669998,39.52,40.48,2441800,40.48
2014-07-01,40.380001,40.75,39.900002,40.27,2266800,40.27
2014-07-02,40.279999,41.689999,40.27,41.400002,2566000,41.400002
2014-07-03,43.060001,43.709999,42.16,42.599998,4047600,42.599998
2014-07-07,42.040001,42.16,40.73,40.82,2209600,40.82
2014-07-08,41.310001,41.310001,40.049999,40.75,1777800,40.75
2014-07-09,40.560001,41.07,40.169998,40.290001,1834000,40.290001
2014-07-10,39.889999,40.240002,39.259998,39.98,2024800,39.98
2014-07-11,39.790001,40.25,39.709999,40.169998,1461800,40.169998
2014-07-14,40.380001,40.380001,38.810001,38.869999,2528800,38.869999
2014-07-15,39.110001,39.189999,38.57,38.66,1801000,38.66
2014-07-16,39.040001,39.040001,37.830002,38.110001,2772000,38.110001
2014-07-17,37.939999,38.939999,37.759998,37.98,2440700,37.98
2014-07-18,38.360001,38.360001,37.52,38.150002,2497600,38.150002
2014-07-21,38.060001,38.060001,37.259998,37.509998,2010500,37.509998
2014-07-22,37.740002,37.830002,37.459999,37.529999,1583800,37.529999
2014-07-23,37.59,37.759998,37.279999,37.560001,2155100,37.560001
2014-07-24,37.93,39.639999,37.810001,39.509998,4198000,39.509998
2014-07-25,39.130001,39.560001,38.84,39.029999,1581800,39.029999
2014-07-28,38.98,39.549999,38.549999,39.450001,1264100,39.450001
2014-07-29,39.5,39.709999,38.75,39.169998,1520700,39.169998
2014-07-30,39.509998,39.669998,39.099998,39.450001,1378400,39.450001
2014-07-31,39.459999,39.970001,38.41,38.470001,3119900,38.470001
2014-08-01,38.68,39.310001,38.119999,38.299999,2035500,38.299999
2014-08-04,38.400002,38.630001,37.889999,38.5,1214100,38.5
2014-08-05,38.189999,39.029999,38.099998,38.700001,2471900,38.700001
2014-08-06,38.599998,40.349998,38.599998,39.970001,3964100,39.970001
2014-08-07,40.41,40.490002,38.91,39.029999,2799200,39.029999
2014-08-08,40.009998,40.389999,39.450001,40.110001,7146600,40.110001
2014-08-11,40.290001,40.57,39.630001,40.380001,1946200,40.380001
2014-08-12,40.41,40.700001,39.23,39.290001,1731000,39.290001
2014-08-13,39.459999,39.529999,38.52,38.77,1724700,38.77
2014-08-14,38.919998,39.040001,38.290001,38.75,1376600,38.75
2014-08-15,38.580002,38.970001,37.900002,38.369999,1575900,38.369999
2014-08-18,38.68,38.959999,38.52,38.790001,1631000,38.790001
2014-08-19,39.009998,40.09,38.91,39.990002,2769200,39.990002
2014-08-20,39.939999,40.25,39.610001,40.0,2222700,40.0
2014-08-21,40.02,40.25,39.669998,39.799999,1586000,39.799999
2014-08-22,39.919998,40.66,39.5,40.450001,2471800,40.450001
2014-08-25,40.810001,41.0,40.299999,40.830002,1769600,40.830002
2014-08-26,40.869999,42.139999,40.77,41.669998,2347100,41.669998
2014-08-27,41.669998,41.939999,41.279999,41.490002,1371600,41.490002
2014-08-28,40.639999,41.0,40.34,40.59,1799400,40.59
2014-08-29,40.630001,40.630001,39.700001,39.93,2074900,39.93
2014-09-02,40.07,40.279999,39.650002,40.110001,1948500,40.110001
2014-09-03,40.200001,40.32,39.099998,39.130001,2712800,39.130001
2014-09-04,39.23,39.540001,38.970001,39.040001,2336000,39.040001
2014-09-05,38.849998,39.209999,38.509998,39.139999,1925400,39.139999
